title,cast,director,overview,runtime,userRating
Poltergeist II: The Other Side,Craig T. Nelson|JoBeth Williams|Heather O'Rourke|Oliver Robins|Zelda Rubinstein,Brian Gibson,The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.,91,5.6
Pee-wee's Big Adventure,Paul Reubens|E.G. Daily|Mark Holton|Diane Salinger|Judd Omen,Tim Burton,The eccentric and childish Pee-wee Herman embarks on a big adventure when his beloved bicycle is stolen. Armed with information from a fortune-teller and a relentless obsession with his prized possession Pee-wee encounters a host of odd characters and bizarre situations as he treks across the country to recover his bike.,90,6.5
Falling Down,Michael Douglas|Robert Duvall|Barbara Hershey|Rachel Ticotin|Frederic Forrest,Joel Schumacher,"On the day of his daughter's birthday William ""D-Fens"" Foster is trying to get to the home of his estranged ex-wife to see his daughter. His car breaks down so he leaves his car in a traffic jam in Los Angeles and decides to walk. He goes to a convenience store and tries to get some change for a phone call but the Korean owner does not oblige tipping Foster over the edge. The unstable Foster so frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.",113,7
Quarantine,Jennifer Carpenter|Steve Harris|Jay Hernandez|Johnathon Schaech|Columbus Short,John Erick Dowdle,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,89,5.3
House on Haunted Hill,Geoffrey Rush|Famke Janssen|Taye Diggs|Peter Gallagher|Chris Kattan,William Malone,A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1000000 to spend the night in a haunted house with a horrifying past.,93,5.6
Gamer,Gerard Butler|Michael C. Hall|Logan Lerman|Amber Valletta|Terry Crews,Mark Neveldine|Brian Taylor,"Mind-control technology has taken society by a storm a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon (Lerman) controls Kable (Butler) the online champion of the game. Kable's ultimate challenge becomes regaining his identity and independence by defeating the game's mastermind (Hall).",95,5.6
Absence of Malice,Paul Newman|Sally Field|Bob Balaban|Melinda Dillon|Luther Adler,Sydney Pollack,A prosecutor leaks a false story that liquor warehouse owner Michael Gallagher is involved in the murder of a union head and as newspaper reporter Megan Carter picks up the story and attempts to find the real truth Gallagher's life begins to unravel.,116,6.8
Short Circuit,Ally Sheedy|Steve Guttenberg|Fisher Stevens|Austin Pendleton|G. W. Bailey,John Badham,After a lightning bolt zaps a robot named Number 5 the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer Newton who hopes to get to Number 5 before the military does. In the meantime a spunky animal lover mistakes the robot for an alien and takes him in teaching her new guest about life on Earth.,98,6.3
Three Fugitives,Nick Nolte|Martin Short|Sarah Rowland Doroff|James Earl Jones|Alan Ruck,Francis Veber,On his first day after being released from jail for 14 armed bank robberies Lucas finds himself caught up in someone else's robbery. Perry has decided to hold up the local bank to raise money so that he can keep his daughter Meg and get her the treatment she needs. Dugan a detective assumes Lucas helped plan the robbery and hence Lucas Perry and Meg become three fugitives.,96,6.5
The Dark Crystal,Jim Henson|Kathryn Mullen|Frank Oz|Dave Goelz|Steve Whitmire,Jim Henson|Frank Oz,On another planet in the distant past a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world before the grotesque race of Skeksis find and use the crystal for evil.,93,7.3
30 Minutes or Less,Jesse Eisenberg|Danny McBride|Aziz Ansari|Bianca Kajlich|Nick Swardson,Ruben Fleischer,Two fledgling criminals kidnap a pizza delivery guy strap a bomb to his chest and advise him that he has mere hours to rob a bank or else...,83,5.5
The Roommate,Minka Kelly|Leighton Meester|Cam Gigandet|Aly Michalka|Matt Lanter,Christian E. Christiansen,When Sara (Minka Kelly) a young design student from Iowa arrives for college in Los Angeles she is eager to fit in and get to know the big city. Her wealthy roommate Rebecca (Leighton Meester) is more than eager to take Sara under her wing and show her the ropes. The two become close but when Sara begins to branch out and make more friends on campus Rebecca becomes resentful. Alarmed Sara moves in with her new boyfriend causing Rebecca's behavior to take a violent turn.,91,5.5
Bill & Ted's Excellent Adventure,Keanu Reeves|Alex Winter|George Carlin|Dan Shor|Hal Landon Jr.,Stephen Herek,"In the small town of San Dimas a few miles away from Los Angeles there are two nearly brain dead teenage boys going by the names of Bill S Preston ESQ. and Ted Theodore Logan they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately they are still in high school and on the verge of failing out of their school as well and if they do not pass their upcoming history report they will be separated as a result of Ted's father sending him to military school. But what Bill and Ted do not know is that they must stay together to save the future. So a man from the future named Rufus came to help them pass their report. So both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",90,6.6
Pretty in Pink,Molly Ringwald|Jon Cryer|Andrew McCarthy|Harry Dean Stanton|Annie Potts,Howard Deutch,Andie is an outcast at her Chicago high school hanging out either with her older boss who owns the record store where she works or her quirky classmate Duckie who has a crush on her. When one of the rich and popular kids at school Blane asks Andie out it seems too good to be true. As Andie starts falling for Blane she begins to realizes that dating someone from a different social sphere is not easy.,96,6.6
War,Jet Li|Jason Statham|John Lone|Devon Aoki|Luis GuzmÌÄåÁn,Philip G. Atwell,FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles who will remain standing?,103,5.9
The Ringer,Brian Cox|Johnny Knoxville|Katherine Heigl|Luis ÌÄvalos|Jed Rees,Barry W. Blaustein,Pressured by a greedy uncle (Brian Cox) and a pile of debt lovable loser Steve Barker (Knoxville) resorts to an unthinkable contemptible just-crazy-enough-to-work scheme. He pretends to be mentally challenged to rig the upcoming Special Olympics and bring home the gold. But when Steve's fellow competitors get wise to the con they inspire him to rise to the greatest challenge of all: becoming a better person.,94,5.5
The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,New England in the 1630s: William and Katherine lead a devout Christian life with five children homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail the family turns on one another. Beyond their worst fears a supernatural evil lurks in the nearby wood.,92,5.8
2010,Roy Scheider|John Lithgow|Helen Mirren|Bob Balaban|Keir Dullea,Peter Hyams,A joint American-Soviet space expedition is sent to Jupiter to learn went happened to the U.S.S. Discovery against a backdrop of growing global tensions. Among the mysteries the expedition must explain are the appearance of a huge black monolith in Jupiter's orbit and the fate of H.A.L. the Discovery's sentient computer.,116,6.4
Reds,Warren Beatty|Diane Keaton|Edward Herrmann|Jack Nicholson|Jerzy Kosinski,Warren Beatty,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.,195,6.5
Safe,Jason Statham|Chris Sarandon|James Hong|Catherine Chan|Robert John Burke,Boaz Yakin,After a former elite agent rescues a 12-year-old Chinese girl who's been abducted they find themselves in the middle of a standoff between Triads the Russian Mafia and high-level corrupt New York City politicians and police.,94,6.2
The Faculty,Jordana Brewster|Elijah Wood|Clea DuVall|Laura Harris|Josh Hartnett,Robert Rodriguez,When some very creepy things start happening around school the kids at Herrington High make a chilling discovery that confirms their worst suspicions: their teachers really are from another planet! As mind-controlling parasites rapidly begin spreading from the faculty to the students' bodies it's ultimately up to the few who are left Ì¢‰âÂ‰ÛÏ an unlikely collection of loners leaders nerds and jocks Ì¢‰âÂ‰ÛÏ to save the world from alien domination.,104,6.1
Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,In 1950s New York a department-store clerk who dreams of a better life falls for an older married woman.,118,7.1
I Am Sam,Sean Penn|Michelle Pfeiffer|Dakota Fanning|Dianne Wiest|Marin Hinkle,Jessie Nelson,Sam has the mental capacity of a 7-year-old. He has a daughter with a homeless woman who abandons them when they leave the hospital leaving Sam to raise Lucy on his own. But as Lucy grows up Sam's limitations start to become a problem and the authorities take her away. Sam shames high-priced lawyer Rita into taking his case pro bono and in turn teaches her the value of love and family.,132,7.2
Blast from the Past,Brendan Fraser|Alicia Silverstone|Christopher Walken|Sissy Spacek|Nathan Fillion,Hugh Wilson,Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years Adam now ventures forth into Los Angeles to obtain food and supplies for his family and a non-mutant wife for himself.,112,6.2
Hardball,Keanu Reeves|Diane Lane|Michael B. Jordan|D. B. Sweeney|John Hawkes,Brian Robbins,An aimless young man who is scalping tickets gambling and drinking agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.,106,6.4
